integrand,d,N,mc_mean_err,mc_std_err,mc_mean_time,qmc_err,qmc_time
D,15,1024,3.131238e-03,1.974992e-03,7.240417e-05,4.839007e-04,2.608300e-05
D,15,2048,2.702600e-03,2.001099e-03,1.385599e-04,2.414433e-04,8.941699e-05
D,15,4096,1.489556e-03,1.007367e-03,2.718458e-04,1.213197e-04,1.357500e-04
D,15,8192,1.076786e-03,7.916324e-04,5.545277e-04,6.039689e-05,3.073750e-04
D,15,16384,6.496042e-04,4.366943e-04,1.141817e-03,3.019291e-05,4.711250e-04
D,15,32768,5.581039e-04,3.294224e-04,2.279081e-03,1.493548e-05,8.606670e-04
D,20,128,9.266156e-03,7.251161e-03,1.669727e-05,3.694255e-03,1.500000e-05
D,20,256,6.237948e-03,5.550782e-03,2.743880e-05,1.892802e-03,1.891701e-05
D,20,512,4.748186e-03,3.424844e-03,4.930707e-05,9.596507e-04,3.120801e-05
D,20,1024,3.611522e-03,2.635715e-03,9.237223e-05,4.839007e-04,4.795800e-05
D,20,2048,2.298050e-03,1.576205e-03,1.785098e-04,2.414433e-04,1.103750e-04
D,20,4096,1.822662e-03,1.568935e-03,3.502902e-04,1.213197e-04,2.201660e-04
D,20,8192,1.140072e-03,1.058888e-03,7.199124e-04,6.039689e-05,4.164580e-04
D,20,16384,7.308129e-04,6.430209e-04,1.486757e-03,3.019291e-05,8.142500e-04
D,20,32768,7.076073e-04,5.226754e-04,2.972378e-03,1.493548e-05,1.043667e-03
